feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,result
0.40723982,0.03167421,0.30316743,1.0,1.0,1.0,1.0,0.0,0.99975,-0.3995943
0.40723982,0.022624435,0.29411766,1.0,1.0,1.0,0.0,0.0,0.99975,-0.14005661
0.40723982,0.036199097,0.30769232,1.0,1.0,1.0,1.0,0.0,0.9995,-0.3995943
0.40723982,0.018099548,0.28959277,1.0,1.0,1.0,0.0,0.0,0.9995,-0.14005661
0.40723982,0.040723983,0.3122172,1.0,1.0,1.0,1.0,0.0,0.99925,-0.3995943
0.40723982,0.013574661,0.2850679,1.0,1.0,1.0,0.0,0.0,0.99925,-0.14005661
0.40723982,0.04524887,0.3167421,1.0,1.0,1.0,1.0,0.0,0.999,-0.3995943
0.40723982,0.009049774,0.280543,1.0,1.0,1.0,0.0,0.0,0.999,-0.14005661
0.40723982,0.049773756,0.32126698,1.0,1.0,1.0,1.0,0.0,0.99875,-0.3995943
0.40723982,0.004524887,0.2760181,1.0,1.0,1.0,0.0,0.0,0.99875,-0.14005661
0.40723982,0.054298643,0.32579187,1.0,1.0,0.99553573,1.0,0.0,0.9985,-0.3995943
0.40723982,0.018099548,0.3438914,1.0,1.0,0.99553573,0.0,0.0,0.9985,-0.14005661
0.40723982,0.018099548,0.27149323,1.0,1.0,0.99553573,0.0,0.0,0.9985,-0.14005661
0.40723982,0.022624435,0.2760181,1.0,1.0,0.99553573,1.0,0.0,0.99825,-0.3995943
0.40723982,0.013574661,0.33936653,1.0,1.0,0.99553573,0.0,0.0,0.99825,-0.14005661
0.40723982,0.027149322,0.280543,1.0,1.0,0.99553573,1.0,0.0,0.998,-0.3995943
0.40723982,0.009049774,0.33484164,1.0,1.0,0.99553573,0.0,0.0,0.998,-0.14005661
0.40723982,0.03167421,0.2850679,1.0,1.0,0.99553573,1.0,0.0,0.99775,-0.3995943
0.40723982,0.004524887,0.33031675,1.0,1.0,0.99553573,0.0,0.0,0.99775,-0.14005661
0.40723982,0.036199097,0.28959277,1.0,1.0,0.9910714,1.0,0.0,0.9975,-0.3995943
0.40723982,0.018099548,0.32579187,1.0,1.0,0.9910714,0.0,0.0,0.9975,-0.14005661
0.40723982,0.040723983,0.29411766,1.0,1.0,0.9910714,1.0,0.0,0.99725,-0.3995943
0.40723982,0.013574661,0.32126698,1.0,1.0,0.9910714,0.0,0.0,0.99725,-0.14005661
0.40723982,0.04524887,0.29864255,1.0,1.0,0.9910714,1.0,0.0,0.997,-0.3995943
0.40723982,0.009049774,0.3167421,1.0,1.0,0.9910714,0.0,0.0,0.997,-0.14005661
0.40723982,0.049773756,0.30316743,1.0,1.0,0.9910714,1.0,0.0,0.99675,-0.3995943
0.40723982,0.004524887,0.3122172,1.0,1.0,0.9910714,0.0,0.0,0.99675,-0.14005661
0.40723982,0.054298643,0.30769232,1.0,1.0,0.98660713,1.0,0.0,0.9965,-0.3995943
0.40723982,0.018099548,0.30769232,1.0,1.0,0.98660713,0.0,0.0,0.9965,-0.14005661
0.40723982,0.05882353,0.3122172,1.0,1.0,0.98660713,1.0,0.0,0.99625,-0.3995943
0.40723982,0.013574661,0.30316743,1.0,1.0,0.98660713,0.0,0.0,0.99625,-0.14005661
0.40723982,0.06334842,0.3167421,1.0,1.0,0.98660713,1.0,0.0,0.996,-0.3995943
0.40723982,0.009049774,0.29864255,1.0,1.0,0.98660713,0.0,0.0,0.996,-0.14005661
0.40723982,0.06787331,0.32126698,1.0,1.0,0.98660713,1.0,0.0,0.99575,-0.3995943
0.40723982,0.004524887,0.29411766,1.0,1.0,0.98660713,0.0,0.0,0.99575,-0.14005661
0.40723982,0.07239819,0.32579187,1.0,1.0,0.98214287,1.0,0.0,0.9955,-0.3995943
0.40723982,0.018099548,0.28959277,1.0,1.0,0.98214287,0.0,0.0,0.9955,-0.14005661
0.40723982,0.07692308,0.33031675,1.0,1.0,0.98214287,1.0,0.0,0.99525,-0.3995943
0.40723982,0.013574661,0.2850679,1.0,1.0,0.98214287,0.0,0.0,0.99525,-0.14005661
0.40723982,0.08144797,0.33484164,1.0,1.0,0.98214287,1.0,0.0,0.995,-0.3995943
0.40723982,0.009049774,0.280543,1.0,1.0,0.98214287,0.0,0.0,0.995,-0.14005661
0.40723982,0.08597285,0.33936653,1.0,1.0,0.98214287,1.0,0.0,0.99475,-0.3995943
0.40723982,0.004524887,0.2760181,1.0,1.0,0.98214287,0.0,0.0,0.99475,-0.14005661
0.40723982,0.09049774,0.3438914,1.0,1.0,0.9776786,1.0,0.0,0.9945,-0.3995943
0.40723982,0.018099548,0.27149323,1.0,1.0,0.9776786,0.0,0.0,0.9945,-0.14005661
0.40723982,0.095022626,0.3484163,1.0,1.0,0.9776786,1.0,0.0,0.99425,-0.3995943
0.40723982,0.013574661,0.26696834,1.0,1.0,0.9776786,0.0,0.0,0.99425,-0.14005661
0.40723982,0.09954751,0.3529412,1.0,1.0,0.9776786,1.0,0.0,0.994,-0.3995943
0.40723982,0.009049774,0.26244345,1.0,1.0,0.9776786,0.0,0.0,0.994,-0.14005661
0.40723982,0.1040724,0.35746607,1.0,1.0,0.9776786,1.0,0.0,0.99375,-0.3995943
0.40723982,0.004524887,0.25791857,1.0,1.0,0.9776786,0.0,0.0,0.99375,-0.14005661
0.40723982,0.108597286,0.36199096,1.0,1.0,0.97321427,1.0,0.0,0.9935,-0.3995943
0.40723982,0.018099548,0.25339368,1.0,1.0,0.97321427,0.0,0.0,0.9935,-0.14005661
0.40723982,0.11312217,0.36651585,1.0,1.0,0.97321427,1.0,0.0,0.99325,-0.3995943
0.40723982,0.013574661,0.24886878,1.0,1.0,0.97321427,0.0,0.0,0.99325,-0.14005661
0.40723982,0.11764706,0.37104073,1.0,1.0,0.97321427,1.0,0.0,0.993,-0.3995943
0.40723982,0.009049774,0.24434389,1.0,1.0,0.97321427,0.0,0.0,0.993,-0.14005661
0.40723982,0.122171946,0.37556562,1.0,1.0,0.97321427,1.0,0.0,0.99275,-0.3995943
0.40723982,0.004524887,0.239819,1.0,1.0,0.97321427,0.0,0.0,0.99275,-0.14005661
0.40723982,0.12669684,0.3800905,1.0,1.0,0.96875,1.0,0.0,0.9925,-0.3995943
0.40723982,0.018099548,0.23529412,1.0,1.0,0.96875,0.0,0.0,0.9925,-0.14005661
0.40723982,0.13122173,0.3846154,1.0,1.0,0.96875,1.0,0.0,0.99225,-0.3995943
0.40723982,0.013574661,0.23076923,1.0,1.0,0.96875,0.0,0.0,0.99225,-0.14005661
0.40723982,0.13574661,0.38914028,1.0,1.0,0.96875,1.0,0.0,0.992,-0.3995943
0.40723982,0.009049774,0.22624435,1.0,1.0,0.96875,0.0,0.0,0.992,-0.14005661
0.40723982,0.1402715,0.39366516,1.0,1.0,0.96875,1.0,0.0,0.99175,-0.3995943
0.40723982,0.004524887,0.22171946,1.0,1.0,0.96875,0.0,0.0,0.99175,-0.14005661
0.40723982,0.14479639,0.39819005,1.0,1.0,0.96428573,1.0,0.0,0.9915,-0.3995943
0.40723982,0.018099548,0.21719457,1.0,1.0,0.96428573,0.0,0.0,0.9915,-0.14005661
0.40723982,0.14932127,0.40271494,1.0,1.0,0.96428573,1.0,0.0,0.99125,-0.3995943
0.40723982,0.013574661,0.21266969,1.0,1.0,0.96428573,0.0,0.0,0.99125,-0.14005661
0.40723982,0.15384616,0.40723982,1.0,1.0,0.96428573,1.0,0.0,0.991,-0.3995943
0.40723982,0.009049774,0.2081448,1.0,1.0,0.96428573,0.0,0.0,0.991,-0.14005661
0.40723982,0.15837105,0.4117647,1.0,1.0,0.96428573,1.0,0.0,0.99075,-0.3995943
0.40723982,0.004524887,0.20361991,1.0,1.0,0.96428573,0.0,0.0,0.99075,-0.14005661
0.40723982,0.16289593,0.4162896,1.0,1.0,0.9598214,1.0,0.0,0.9905,-0.3995943
0.40723982,0.018099548,0.19909503,1.0,1.0,0.9598214,0.0,0.0,0.9905,-0.14005661
0.40723982,0.16742082,0.42081448,1.0,1.0,0.9598214,1.0,0.0,0.99025,-0.3995943
0.40723982,0.013574661,0.19457014,1.0,1.0,0.9598214,0.0,0.0,0.99025,-0.14005661
0.40723982,0.1719457,0.42533937,0.61538464,1.0,0.9598214,1.0,0.0,0.99,-0.3995943
0.40723982,0.009049774,0.19004525,0.6334842,1.0,0.9598214,0.0,0.0,0.99,-0.14005661
0.40723982,0.1764706,0.42986426,0.61538464,1.0,0.9598214,1.0,0.0,0.98975,-0.3995943
0.40723982,0.004524887,0.18552037,0.6244344,1.0,0.9598214,0.0,0.0,0.98975,-0.14005661
0.40723982,0.18099548,0.43438914,0.61538464,1.0,0.95535713,1.0,0.0,0.9895,-0.3995943
0.40723982,0.018099548,0.3438914,0.7963801,1.0,0.95535713,0.0,0.0,0.9895,-0.14005661
0.40723982,0.018099548,0.18099548,0.61538464,1.0,0.95535713,0.0,0.0,0.9895,-0.14005661
0.40723982,0.013574661,0.33936653,0.7963801,1.0,0.95535713,0.0,0.0,0.98925,-0.14005661
0.40723982,0.022624435,0.18552037,0.61538464,1.0,0.95535713,1.0,0.0,0.98925,-0.3995943
0.40723982,0.009049774,0.33484164,0.7963801,1.0,0.95535713,0.0,0.0,0.989,-0.14005661
0.40723982,0.027149322,0.19004525,0.61538464,1.0,0.95535713,1.0,0.0,0.989,-0.3995943
0.40723982,0.004524887,0.33031675,0.7963801,1.0,0.95535713,0.0,0.0,0.98875,-0.14005661
0.40723982,0.03167421,0.19457014,0.61538464,1.0,0.95535713,1.0,0.0,0.98875,-0.3995943
0.40723982,0.018099548,0.32579187,0.7963801,1.0,0.95089287,0.0,0.0,0.9885,-0.14005661
0.40723982,0.036199097,0.19909503,0.61538464,1.0,0.95089287,1.0,0.0,0.9885,-0.3995943
0.40723982,0.013574661,0.32126698,0.7873303,1.0,0.95089287,0.0,0.0,0.98825,-0.14005661
0.40723982,0.040723983,0.20361991,0.61538464,1.0,0.95089287,1.0,0.0,0.98825,-0.3995943
0.40723982,0.009049774,0.3167421,0.77828056,1.0,0.95089287,0.0,0.0,0.988,-0.14005661
0.40723982,0.04524887,0.2081448,0.61538464,1.0,0.95089287,1.0,0.0,0.988,-0.3995943
0.40723982,0.004524887,0.3122172,0.7692308,1.0,0.95089287,0.0,0.0,0.98775,-0.14005661
0.40723982,0.049773756,0.21266969,0.61538464,1.0,0.95089287,1.0,0.0,0.98775,-0.3995943
0.40723982,0.018099548,0.30769232,0.760181,1.0,0.9464286,0.0,0.0,0.9875,-0.14005661
0.40723982,0.054298643,0.21719457,0.61538464,1.0,0.9464286,1.0,0.0,0.9875,-0.3995943
0.40723982,0.013574661,0.30316743,0.75113124,1.0,0.9464286,0.0,0.0,0.98725,-0.14005661
0.40723982,0.05882353,0.22171946,0.61538464,1.0,0.9464286,1.0,0.0,0.98725,-0.3995943
0.40723982,0.009049774,0.29864255,0.74208146,1.0,0.9464286,0.0,0.0,0.987,-0.14005661
0.40723982,0.06334842,0.22624435,0.61538464,1.0,0.9464286,1.0,0.0,0.987,-0.3995943
0.40723982,0.004524887,0.29411766,0.7330317,1.0,0.9464286,0.0,0.0,0.98675,-0.14005661
0.40723982,0.06787331,0.23076923,0.61538464,1.0,0.9464286,1.0,0.0,0.98675,-0.3995943
0.40723982,0.018099548,0.28959277,0.7239819,1.0,0.94196427,0.0,0.0,0.9865,-0.14005661
0.40723982,0.07239819,0.23529412,0.61538464,1.0,0.94196427,1.0,0.0,0.9865,-0.3995943
0.40723982,0.013574661,0.2850679,0.71493214,1.0,0.94196427,0.0,0.0,0.98625,-0.14005661
0.40723982,0.07692308,0.239819,0.61538464,1.0,0.94196427,1.0,0.0,0.98625,-0.3995943
0.40723982,0.009049774,0.280543,0.7058824,1.0,0.94196427,0.0,0.0,0.986,-0.14005661
0.40723982,0.08144797,0.24434389,0.61538464,1.0,0.94196427,1.0,0.0,0.986,-0.3995943
0.40723982,0.004524887,0.2760181,0.6968326,1.0,0.94196427,0.0,0.0,0.98575,-0.14005661
0.40723982,0.08597285,0.24886878,0.61538464,1.0,0.94196427,1.0,0.0,0.98575,-0.3995943
0.40723982,0.018099548,0.27149323,0.6877828,1.0,0.9375,0.0,0.0,0.9855,-0.14005661
0.40723982,0.09049774,0.25339368,0.61538464,1.0,0.9375,1.0,0.0,0.9855,-0.3995943
0.40723982,0.013574661,0.26696834,0.67873305,1.0,0.9375,0.0,0.0,0.98525,-0.14005661
0.40723982,0.095022626,0.25791857,0.61538464,1.0,0.9375,1.0,0.0,0.98525,-0.3995943
0.40723982,0.009049774,0.26244345,0.6696833,1.0,0.9375,0.0,0.0,0.985,-0.14005661
0.40723982,0.09954751,0.26244345,0.61538464,1.0,0.9375,1.0,0.0,0.985,-0.3995943
0.40723982,0.004524887,0.25791857,0.6606335,1.0,0.9375,0.0,0.0,0.98475,-0.14005661
0.40723982,0.1040724,0.26696834,0.61538464,1.0,0.9375,1.0,0.0,0.98475,-0.3995943
0.40723982,0.018099548,0.25339368,0.65158373,1.0,0.93303573,0.0,0.0,0.9845,-0.14005661
0.40723982,0.108597286,0.27149323,0.61538464,1.0,0.93303573,1.0,0.0,0.9845,-0.3995943
0.40723982,0.013574661,0.24886878,0.64253396,1.0,0.93303573,0.0,0.0,0.98425,-0.14005661
0.40723982,0.11312217,0.2760181,0.61538464,1.0,0.93303573,1.0,0.0,0.98425,-0.3995943
